0,MyTaiwanTour,150万美元,战略投资,投资方未披露,旅游,2018-11-21,http//www.cyzone.cn/company/480955.html
1,Stilla Technologies,1800万美元,A轮,投资方未披露,医疗健康,2018-11-21,http//www.cyzone.cn/company/480954.html
